fpr,tpr
0.003976,0.067561
0.003976,0.067691
0.003976,0.067821
0.003976,0.067951
0.003976,0.068081
0.003976,0.068211
0.003976,0.068342
0.003976,0.068472
0.003976,0.068602
0.003976,0.068732
0.003976,0.068862
0.003976,0.068992
0.003976,0.069123
0.003976,0.069253
0.003976,0.069383
0.003976,0.069513
0.003976,0.069643
0.003976,0.069773
0.003976,0.069904
0.003976,0.070034
0.003976,0.070164
0.003976,0.070294
0.003976,0.070424
0.003976,0.070555
0.003976,0.070685
0.003976,0.070815
0.003976,0.070945
0.003976,0.071075
0.003976,0.071205
0.003976,0.071466
0.003976,0.071596
0.003976,0.071726
0.003976,0.071856
0.003976,0.072117
0.003976,0.072247
0.003976,0.072377
0.003976,0.072507
0.003976,0.072637
0.003976,0.072768
0.003976,0.072898
0.003976,0.073028
0.003976,0.073158
0.003976,0.073288
0.003976,0.073418
0.003976,0.073549
0.003976,0.073679
0.003976,0.073809
0.003976,0.073939
0.003976,0.074069
0.003976,0.074199
0.003976,0.07433
0.003976,0.07446
0.003976,0.07459
0.003976,0.07472
0.003976,0.07485
0.003976,0.07498
0.003976,0.075111
0.003976,0.075241
0.003976,0.075371
0.003976,0.075501
0.003976,0.075631
0.003976,0.075762
0.003976,0.075892
0.003976,0.076022
0.003976,0.076152
0.003976,0.076282
0.003976,0.076412
0.003976,0.076543
0.003976,0.076673
0.003976,0.076803
0.003976,0.076933
0.003976,0.077063
0.003976,0.077193
0.003976,0.077324
0.003976,0.077454
0.003976,0.077584
0.003976,0.077714
0.003976,0.077844
0.003976,0.077974
0.003976,0.078105
0.003976,0.078235
0.003976,0.078365
0.003976,0.078495
0.003976,0.078625
0.003976,0.078756
0.003976,0.078886
0.003976,0.079016
0.003976,0.079146
0.003976,0.079276
0.003976,0.079406
0.003976,0.079537
0.003976,0.079667
0.003976,0.079797
0.003976,0.079927
0.003976,0.080057
0.003976,0.080187
0.003976,0.080318
0.003976,0.080448
0.003976,0.080578
0.003976,0.080708
0.003976,0.080968
0.003976,0.081099
0.003976,0.081229
0.003976,0.081359
0.003976,0.081489
0.003976,0.081619
0.003976,0.08175
0.003976,0.08188
0.003976,0.08201
0.003976,0.08214
0.003976,0.08227
0.003976,0.082531
0.003976,0.082661
0.003976,0.082791
0.003976,0.082921
0.003976,0.083051
0.003976,0.083181
0.003976,0.083312
0.003976,0.083442
0.003976,0.083572
0.003976,0.083702
0.003976,0.083832
0.003976,0.084093
0.003976,0.084223
0.003976,0.084353
0.003976,0.084483
0.003976,0.084613
0.003976,0.084744
0.003976,0.084874
0.003976,0.085004
0.003976,0.085134
0.003976,0.085264
0.003976,0.085394
0.003976,0.085655
0.003976,0.085785
0.003976,0.085915
0.003976,0.086045
0.003976,0.086175
0.003976,0.086306
0.003976,0.086436
0.003976,0.086566
0.003976,0.086696
0.003976,0.086826
0.003976,0.086957
0.003976,0.087087
0.003976,0.087217
0.003976,0.087347
0.003976,0.087477
0.003976,0.087607
0.003976,0.087738
0.003976,0.087868
0.003976,0.087998
0.003976,0.088128
0.003976,0.088258
0.003976,0.088388
0.003976,0.088519
0.003976,0.088649
0.003976,0.088779
0.003976,0.088909
0.003976,0.089039
0.003976,0.089169
0.003976,0.0893
0.003976,0.08943
0.003976,0.08956
0.003976,0.08969
0.003976,0.08982
0.003976,0.089951
0.003976,0.090081
0.003976,0.090211
0.003976,0.090341
0.003976,0.090471
0.003976,0.090601
0.003976,0.090732
0.003976,0.090862
0.003976,0.090992
0.003976,0.091252
0.003976,0.091382
0.003976,0.091643
0.003976,0.091773
0.003976,0.091903
0.003976,0.092033
0.003976,0.092163
0.003976,0.092294
0.003976,0.092424
0.003976,0.092554
0.003976,0.092684
0.003976,0.092814
0.003976,0.092945
0.003976,0.093075
0.003976,0.093205
0.003976,0.093335
0.003976,0.093465
0.003976,0.093595
0.003976,0.093726
0.003976,0.093856
0.003976,0.094116
0.003976,0.094246
0.004639,0.094246
0.004639,0.094376
0.004639,0.094507
0.004639,0.094637
0.004639,0.094767
0.004639,0.094897
0.004639,0.095027
0.004639,0.095158
0.004639,0.095418
0.004639,0.095548
0.004639,0.095678
0.004639,0.095939
0.004639,0.096069
0.004639,0.096199
0.004639,0.096329
0.004639,0.096459
0.004639,0.096589
0.004639,0.09672
0.004639,0.09685
0.004639,0.09698
0.004639,0.09711
0.004639,0.09724
0.004639,0.09737
0.004639,0.097631
0.004639,0.097761
0.004639,0.097891
0.004639,0.098021
0.004639,0.098152
0.004639,0.098282
0.004639,0.098412
0.004639,0.098542
0.004639,0.098672
0.004639,0.098802
0.004639,0.098933
0.004639,0.099063
0.004639,0.099193
0.004639,0.099323
0.004639,0.099453
0.004639,0.099583
0.004639,0.099714
0.004639,0.099844
0.004639,0.099974
0.004639,0.100104
0.004639,0.100234
0.004639,0.100364
0.004639,0.100495
0.005302,0.100495
0.005302,0.100625
0.005302,0.100755
0.005302,0.100885
0.005302,0.101015
0.005302,0.101146
0.005302,0.101276
0.005302,0.101406
0.005302,0.101536
0.005302,0.101666
0.005302,0.101796
0.005302,0.101927
0.005302,0.102057
0.005302,0.102187
0.005302,0.102317
0.005302,0.102447
0.005302,0.102577
0.005302,0.102708
0.005302,0.102838
0.005302,0.102968
0.005302,0.103098
0.005302,0.103228
0.005302,0.103359
0.005302,0.103489
0.005302,0.103619
0.005302,0.103749
0.005302,0.103879
0.005302,0.104009
0.005302,0.10414
0.005302,0.10427
0.005302,0.1044
0.005302,0.10453
0.005302,0.10466
0.005302,0.10479
0.005302,0.104921
0.005302,0.105051
0.005302,0.105181
0.005302,0.105311
0.005302,0.105441
0.005302,0.105571
0.005302,0.105702
0.005302,0.105832
0.005302,0.105962
0.005302,0.106092
0.005302,0.106353
0.005302,0.106613
0.005302,0.106743
0.005302,0.106873
0.005302,0.107003
0.005302,0.107134
0.005302,0.107264
0.005302,0.107394
0.005302,0.107524
0.005302,0.107654
0.005302,0.107784
0.005302,0.107915
0.005302,0.108045
0.005302,0.108175
0.005302,0.108305
0.005302,0.108435
0.005302,0.108565
0.005302,0.108696
0.005302,0.108956
0.005302,0.109086
0.005302,0.109216
0.005302,0.109347
0.005302,0.109477
0.005302,0.109607
0.005302,0.109737
0.005302,0.109867
0.005302,0.109997
0.005302,0.110128
0.005302,0.110258
0.005302,0.110518
0.005302,0.110648
0.005302,0.110909
0.005302,0.111039
0.005302,0.111169
0.005302,0.111299
0.005302,0.111429
0.005302,0.111559
0.005302,0.11169
0.005302,0.11182
0.005302,0.11195
0.005302,0.11208
0.005302,0.11221
0.005302,0.112341
0.005302,0.112471
0.005302,0.112731
0.005302,0.112861
0.005302,0.112991
0.005302,0.113252
0.005302,0.113382
0.005964,0.113382
0.005964,0.113512
0.005964,0.113642
0.005964,0.113772
0.005964,0.113903
0.005964,0.114033
0.005964,0.114163
0.005964,0.114293
0.005964,0.114423
0.005964,0.114554
0.005964,0.114684
0.005964,0.114814
0.005964,0.114944
0.005964,0.115074
0.005964,0.115204
0.005964,0.115335
0.005964,0.115465
0.005964,0.115595
0.005964,0.115725
0.005964,0.115855
0.005964,0.116116
0.005964,0.116246
0.005964,0.116376
0.006627,0.116376
0.006627,0.116506
0.006627,0.116636
0.006627,0.116766
0.006627,0.116897
0.006627,0.117027
0.006627,0.117157
0.006627,0.117287
0.006627,0.117417
0.006627,0.117548
0.006627,0.117678
0.006627,0.117808
0.006627,0.117938
